Best Fitness (0),Diversity,numSimulations,Max. diversity,Min. diversity,Deviation,number of Elite,number of Mutation,number of XOver,number of Renew,number of Random,effectivity of Elite,effectivity of Mutation,effectivity of XOver,effectivity of Renew,effectivity of Random
0.2206,0.6605,50.0000,0.8760,0.4138,0.0746,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2206,0.6384,37.0000,0.8845,0.0423,0.1311,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2206,0.6207,37.0000,0.9128,0.0423,0.1601,8.0000,20.0000,15.0000,2.0000,5.0000,0.3750,0.1000,0.2000,0.0000,0.0000
0.2206,0.6064,37.0000,0.8504,0.0423,0.1658,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2425,0.5918,37.0000,0.8742,0.0388,0.1733,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2425,0.5868,37.0000,0.9897,0.0235,0.1735,8.0000,20.0000,15.0000,2.0000,5.0000,0.2500,0.1500,0.2000,0.0000,0.0000
0.2485,0.5292,37.0000,0.9060,0.0249,0.1781,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
0.2485,0.5887,37.0000,0.9477,0.0302,0.1836,8.0000,20.0000,15.0000,2.0000,5.0000,0.1250,0.1500,0.2000,0.0000,0.0000
0.2485,0.5256,37.0000,1.0033,0.0268,0.1904,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4853,37.0000,0.9133,0.0203,0.1750,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4899,37.0000,0.9295,0.0558,0.1708,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4821,37.0000,0.9512,0.0156,0.1694,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4747,37.0000,0.9200,0.0340,0.1697,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4592,37.0000,0.8524,0.0256,0.1628,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4753,37.0000,0.8875,0.0096,0.1661,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.5207,37.0000,0.9100,0.0198,0.1889,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.5089,37.0000,0.9955,0.0550,0.1740,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4872,37.0000,0.9089,0.0407,0.1754,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4972,37.0000,0.8694,0.0175,0.1659,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.5232,37.0000,0.9467,0.0249,0.1825,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4913,37.0000,0.9121,0.0280,0.1770,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4944,37.0000,0.8921,0.0255,0.1623,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.5339,37.0000,0.9672,0.0481,0.2050,8.0000,20.0000,15.0000,2.0000,5.0000,0.2500,0.2500,0.0667,0.0000,0.0000
0.2485,0.4793,37.0000,0.8849,0.0647,0.1804,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4752,37.0000,0.9992,0.0409,0.1956,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4288,37.0000,0.9044,0.0201,0.1526,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4510,37.0000,0.8758,0.0110,0.1666,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4746,37.0000,0.8965,0.0201,0.1730,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4731,37.0000,0.8608,0.0298,0.1575,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4537,37.0000,0.9223,0.0298,0.1617,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4421,37.0000,0.8314,0.0670,0.1513,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4867,37.0000,0.9158,0.0530,0.1742,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4265,37.0000,0.8067,0.0220,0.1590,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4804,37.0000,0.9192,0.0205,0.1692,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4641,37.0000,0.8786,0.0074,0.1679,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4728,37.0000,0.9246,0.0227,0.1476,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4924,37.0000,0.9602,0.0498,0.1735,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4840,37.0000,0.9044,0.0654,0.1637,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.4768,37.0000,0.9101,0.0664,0.1594,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.5038,37.0000,0.8383,0.0643,0.1634,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.5060,37.0000,0.8343,0.0620,0.1633,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2485,0.5006,37.0000,0.8839,0.0241,0.1755,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2794,0.4796,37.0000,0.8018,0.0151,0.1506,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.2794,0.5047,37.0000,0.9053,0.0469,0.1610,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.3500,0.0667,0.0000,0.0000
