Best Fitness (0),Diversity,numSimulations,Max. diversity,Min. diversity,Deviation,number of Elite,number of Mutation,number of XOver,number of Renew,number of Random,effectivity of Elite,effectivity of Mutation,effectivity of XOver,effectivity of Renew,effectivity of Random
1.1981,514.7408,50.0000,573.1439,458.8337,17.9047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2364,499.8698,37.0000,576.1538,52.5491,93.1061,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2364,478.4974,37.0000,591.4262,57.3108,120.8111,8.0000,20.0000,15.0000,2.0000,5.0000,0.2500,0.1500,0.2000,0.0000,0.0000
1.2364,474.0231,37.0000,601.8982,54.4562,133.2547,8.0000,20.0000,15.0000,2.0000,5.0000,0.3750,0.1500,0.1333,0.0000,0.0000
1.2364,467.7721,37.0000,621.7281,59.3560,130.1828,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
1.2364,486.6775,37.0000,621.1263,57.2478,121.7456,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
1.2634,472.9010,37.0000,623.2112,56.8965,140.6992,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
1.2804,438.7537,37.0000,634.0253,64.9002,156.1230,8.0000,20.0000,15.0000,2.0000,5.0000,0.3750,0.2000,0.0667,0.0000,0.0000
1.2804,432.6707,37.0000,654.5215,47.0773,140.8891,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
1.2804,439.9414,37.0000,652.0463,53.2037,123.5055,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
1.2804,444.1019,37.0000,645.2075,51.0032,138.9402,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2804,430.5670,37.0000,649.5694,54.5446,127.2450,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2869,446.6353,37.0000,664.0392,59.3913,140.7362,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2869,408.9890,37.0000,654.6616,48.9422,144.6788,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
1.2869,400.3818,37.0000,645.9971,60.3748,132.4580,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
1.2869,386.4465,37.0000,667.3310,20.6529,133.4489,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
1.2869,362.5852,37.0000,626.8730,18.6471,128.0490,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
1.2933,376.2859,37.0000,615.8458,18.3435,118.9082,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
1.2933,404.6800,37.0000,649.2729,52.3069,123.8789,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
1.2933,386.5385,37.0000,624.2524,24.5875,116.2351,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
1.2933,403.8447,37.0000,654.8060,62.0980,122.5655,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0000,0.1333,0.0000,0.0000
1.2933,382.7377,37.0000,641.6009,25.1749,127.0165,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2933,386.0086,37.0000,641.5859,62.4096,127.2435,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2933,398.1975,37.0000,601.7624,62.8468,131.6007,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2933,370.8892,37.0000,632.5473,78.9661,125.0376,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2933,352.0604,37.0000,630.3922,33.8455,113.6021,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2933,371.9950,37.0000,619.5901,16.5173,118.7779,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2933,378.7417,37.0000,616.8653,18.9604,123.2566,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2933,363.1167,37.0000,600.8280,24.6234,127.7706,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2933,363.5217,37.0000,625.3160,25.8532,129.3739,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2933,376.0046,37.0000,609.2757,13.6615,125.7227,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
1.3200,374.8999,37.0000,633.5612,73.9815,116.3768,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3200,377.8562,37.0000,615.0840,32.5715,116.3220,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
1.3200,383.4347,37.0000,602.5374,13.8845,113.2350,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3476,393.7235,37.0000,651.8242,22.3544,130.7628,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
1.3476,361.8141,37.0000,618.4433,22.3544,116.3233,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
1.3476,411.7554,37.0000,628.5401,24.3513,135.9694,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3476,381.5681,37.0000,631.6656,13.9636,123.9876,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3476,389.2107,37.0000,662.7745,17.5464,129.2222,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3476,356.7354,37.0000,630.4074,34.2162,119.4796,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
