Best Fitness (0),Diversity,numSimulations,Max. diversity,Min. diversity,Deviation,number of Elite,number of Mutation,number of XOver,number of Renew,number of Random,effectivity of Elite,effectivity of Mutation,effectivity of XOver,effectivity of Renew,effectivity of Random
1.5978,179.9617,50.0000,212.9953,147.9173,10.7234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0329,172.9833,37.0000,216.8992,18.5191,31.8354,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0329,145.0858,37.0000,221.1846,18.2866,44.9201,8.0000,20.0000,15.0000,2.0000,5.0000,0.2500,0.2500,0.0667,0.0000,0.0000
2.0329,108.2330,37.0000,210.0502,6.0585,45.4036,8.0000,20.0000,15.0000,2.0000,5.0000,0.5000,0.0500,0.2000,0.0000,0.0000
2.0989,100.7629,37.0000,209.9996,8.1608,41.2181,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.0989,106.6819,37.0000,214.1870,5.0775,46.4248,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.1500,0.0000,0.0000,0.0000
2.1555,100.2229,37.0000,221.1045,3.8288,36.3534,8.0000,20.0000,15.0000,2.0000,5.0000,0.2500,0.1500,0.2000,0.0000,0.0000
2.6011,105.2638,37.0000,215.8159,4.7582,37.8769,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.0500,0.4667,0.0000,0.0000
2.6011,125.0143,37.0000,233.0050,10.0946,44.3861,8.0000,20.0000,15.0000,2.0000,5.0000,0.1250,0.0000,0.4000,0.0000,0.0000
2.6011,122.5164,37.0000,209.7258,10.0946,43.6020,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
2.6011,129.5620,37.0000,209.8668,10.0946,42.3033,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0000,0.1333,0.0000,0.0000
2.6011,125.4787,37.0000,213.0174,7.3439,43.0997,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.0000,0.2000,0.0000,0.0000
2.7450,132.3881,37.0000,213.3920,4.4554,44.5622,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
2.7450,136.7076,37.0000,211.7711,12.5986,42.6743,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
2.7450,136.9443,37.0000,208.8344,5.2995,41.2117,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.7450,149.2610,37.0000,214.6276,18.9803,42.9220,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0000,0.0000,0.0000
2.7450,148.0685,37.0000,223.2678,8.5385,46.6705,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7450,149.3216,37.0000,234.4173,16.4124,46.9673,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
2.7450,146.2030,37.0000,233.6616,17.8915,45.5601,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7450,144.1504,37.0000,219.2573,19.0949,46.9564,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
2.7450,134.4307,37.0000,221.2003,8.9256,49.6967,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.7450,136.9601,37.0000,223.9468,4.8665,46.2020,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
2.7450,144.9846,37.0000,234.0751,9.1756,48.2368,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7450,133.2582,37.0000,211.3477,5.1262,41.8043,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.7450,116.9568,37.0000,247.2949,7.1730,44.1577,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7450,116.8694,37.0000,226.9690,11.8713,39.4752,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
2.7450,125.7501,37.0000,226.8503,4.5829,43.6722,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7450,142.3989,37.0000,237.2886,4.5829,49.9946,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7450,140.9592,37.0000,245.2640,10.7787,48.2020,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7450,130.4295,37.0000,233.0484,4.2467,40.9646,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7450,136.1772,37.0000,217.8697,4.2467,44.1423,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7450,144.9277,37.0000,219.5205,10.6039,46.9127,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
2.7450,130.0271,37.0000,224.9426,16.7425,42.8800,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7450,130.1849,37.0000,228.4716,12.9187,39.6401,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,128.7959,37.0000,223.9224,7.3511,41.1021,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,125.3681,37.0000,202.3656,16.1531,36.8251,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.7481,123.9347,37.0000,236.7584,11.5956,39.1198,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,121.1321,37.0000,212.6300,6.1905,40.3249,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,113.0760,37.0000,238.1053,6.7582,42.1526,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.7481,114.0003,37.0000,237.2209,6.7582,40.1407,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
2.7481,105.6540,37.0000,206.5302,5.4575,36.9893,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,112.3420,37.0000,205.8067,14.9732,37.7815,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,111.2073,37.0000,206.8289,7.3843,38.7956,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,103.0580,37.0000,224.2445,9.5327,38.2863,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,127.3263,37.0000,235.5420,8.7927,46.7992,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,145.2612,37.0000,233.4690,10.9921,43.6402,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,142.9671,37.0000,245.6561,15.9825,43.2992,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,128.8872,37.0000,232.3533,8.8575,42.1401,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,118.9261,37.0000,220.0193,10.4460,41.2543,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,122.3488,37.0000,231.6739,5.1503,42.0606,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,118.3675,37.0000,219.2726,17.8490,41.6389,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,115.4088,37.0000,211.0877,11.0012,40.3127,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,128.3399,37.0000,221.4573,7.6186,44.5155,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,141.3624,37.0000,238.5043,12.7153,49.9971,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,118.1856,37.0000,219.4904,7.6186,46.1467,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
2.7481,123.8805,37.0000,221.7658,7.6186,44.0624,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,119.4482,37.0000,219.4427,11.3255,44.6067,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,115.1415,37.0000,219.0846,11.9243,40.7288,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,115.9094,37.0000,208.8426,20.7724,38.6803,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,121.3591,37.0000,213.3066,10.8500,42.4367,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
2.7481,119.1868,37.0000,217.8635,5.7777,41.1724,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,126.7270,37.0000,217.9363,15.8410,42.0439,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,127.5564,37.0000,228.8222,7.1389,48.9610,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,131.1342,37.0000,227.7633,11.2460,41.9783,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.7481,124.4557,37.0000,223.1516,15.8202,43.4720,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,122.7587,37.0000,221.0069,7.6186,44.1992,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,134.8131,37.0000,244.5591,17.6175,43.6579,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,122.1399,37.0000,214.2933,18.4953,38.5368,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,122.4862,37.0000,217.1584,6.2454,39.8611,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,110.7545,37.0000,216.7753,9.0291,42.8102,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
2.7481,133.9263,37.0000,224.5769,19.6164,47.1583,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,143.9007,37.0000,231.7149,21.0215,44.0791,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,142.9573,37.0000,231.8380,12.9871,51.0697,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,140.1709,37.0000,242.3567,17.0629,50.8912,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,122.8643,37.0000,234.1152,6.6657,45.7555,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,127.2483,37.0000,217.3148,8.8253,45.7126,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,140.3884,37.0000,237.0913,12.4854,46.9139,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,131.4178,37.0000,238.6329,8.8253,43.4691,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,128.0744,37.0000,227.6197,11.1325,45.7025,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,113.0850,37.0000,248.3733,7.8311,44.4792,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,126.2706,37.0000,260.4132,9.0826,51.0641,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
2.7481,120.8766,37.0000,244.2648,9.0826,53.5420,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,156.9472,37.0000,255.0025,9.0826,59.2405,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,128.1390,37.0000,254.6890,9.0826,49.1384,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,125.5830,37.0000,236.0785,8.8029,45.9091,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
2.7481,114.0606,37.0000,214.0112,6.7398,38.9176,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.1500,0.0000,0.0000,0.0000
2.7481,124.3003,37.0000,232.5405,9.0826,48.1503,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,121.6398,37.0000,242.4463,8.9896,43.2435,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,111.2824,37.0000,225.6247,9.0826,37.9840,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,107.7304,37.0000,225.4444,6.2884,36.9323,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,106.7147,37.0000,213.6765,7.4158,37.8712,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,103.4860,37.0000,225.8602,6.7398,38.3448,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,115.5281,37.0000,225.6528,7.8079,45.7243,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,112.5778,37.0000,219.8658,9.0826,46.0055,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,97.9333,37.0000,227.3257,9.0826,38.1438,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,103.3679,37.0000,227.3525,7.9799,37.6823,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,106.6294,37.0000,218.7552,6.7000,37.9368,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,104.8292,37.0000,208.8062,9.0826,35.4440,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,108.4623,37.0000,234.2083,9.0826,37.6172,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,112.0653,37.0000,235.4483,9.0826,38.1540,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,121.0792,37.0000,242.5460,9.0826,43.5788,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,116.4462,37.0000,232.3364,7.6186,46.4458,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.7481,115.6771,37.0000,219.8026,7.6186,40.1603,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,105.0263,37.0000,205.6701,6.3993,36.9629,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,118.3193,37.0000,214.4034,7.9528,41.8146,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,114.5802,37.0000,240.8032,7.1763,38.7846,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,116.5254,37.0000,228.7369,7.0936,40.5629,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,130.3403,37.0000,214.9663,9.0826,41.5290,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,116.8879,37.0000,213.7049,5.6937,37.3258,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,114.2120,37.0000,217.9889,8.8391,35.9485,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,114.5209,37.0000,215.5495,4.3710,39.8217,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,130.4937,37.0000,219.8440,9.0826,44.1645,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,123.0888,37.0000,208.7305,5.1113,44.4382,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,115.5071,37.0000,227.8208,9.0826,39.0262,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,115.7105,37.0000,216.0478,9.0826,40.1317,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,118.4623,37.0000,226.5418,7.3626,39.0067,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,112.5910,37.0000,209.4141,7.3771,35.9498,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,127.0617,37.0000,202.5726,5.7934,40.0500,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,119.2061,37.0000,209.4505,6.2730,40.2471,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,124.1037,37.0000,208.9414,8.1078,39.6042,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,123.8262,37.0000,221.8954,5.0977,40.5752,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,132.2696,37.0000,216.9562,9.0826,40.1072,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,121.9479,37.0000,214.5717,6.8855,38.4854,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,125.1429,37.0000,220.4420,6.9092,38.8294,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,120.5913,37.0000,229.3938,5.1791,38.1630,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,125.3439,37.0000,206.3801,9.0826,34.3655,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7481,122.4760,37.0000,237.0961,5.1113,37.4224,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
