Best Fitness (0),Diversity,numSimulations,Max. diversity,Min. diversity,Deviation,number of Elite,number of Mutation,number of XOver,number of Renew,number of Random,effectivity of Elite,effectivity of Mutation,effectivity of XOver,effectivity of Renew,effectivity of Random
2.2406,514.7408,50.0000,573.1439,458.8337,17.9047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.2406,488.8752,37.0000,582.1995,63.7427,92.0700,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.4128,465.7703,37.0000,602.6212,53.8896,124.5272,8.0000,20.0000,15.0000,2.0000,5.0000,0.3750,0.2000,0.0667,0.0000,0.0000
2.4128,450.1406,37.0000,606.6387,53.8896,133.7253,8.0000,20.0000,15.0000,2.0000,5.0000,0.2500,0.1000,0.2667,0.0000,0.0000
2.4530,444.1500,37.0000,626.4085,65.9287,148.9205,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.1000,0.0667,0.0000,0.0000
2.4530,442.2142,37.0000,612.9268,59.4190,140.8560,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.0500,0.0667,0.0000,0.0000
2.4530,446.7445,37.0000,611.9148,52.7922,133.7006,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0000,0.1333,0.0000,0.0000
2.6390,457.8378,37.0000,630.2486,55.2751,127.6630,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.1000,0.0667,0.0000,0.0000
2.6390,456.4087,37.0000,616.2159,59.7448,125.7973,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
2.6390,466.4041,37.0000,631.7376,38.5001,124.0078,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.0500,0.1333,0.0000,0.0000
2.6390,470.8349,37.0000,633.2750,53.9273,123.7444,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
2.6390,469.1619,37.0000,615.2613,60.9687,129.0825,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
2.6390,461.7356,37.0000,630.8843,41.7343,129.8776,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.6390,458.4027,37.0000,644.9851,34.5772,141.5353,8.0000,20.0000,15.0000,2.0000,5.0000,0.5000,0.2000,0.0000,0.0000,0.0000
2.6390,476.5034,37.0000,675.4109,57.6838,141.0566,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.6390,453.3995,37.0000,637.1229,64.6652,136.4338,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.6390,462.1321,37.0000,658.6577,10.6387,134.4267,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.6390,473.1425,37.0000,665.0362,55.1780,138.0191,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.6390,451.9210,37.0000,658.0077,60.6802,140.1050,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.6390,421.0945,37.0000,666.0600,53.5428,129.8157,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
2.6390,465.6427,37.0000,678.1920,63.2694,131.3554,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.6390,455.3737,37.0000,673.7199,51.1747,140.7512,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.6390,455.4223,37.0000,661.1588,30.3245,136.4050,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.6390,467.5236,37.0000,647.1592,63.8916,126.8620,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.6390,436.9756,37.0000,677.6645,12.6449,133.8836,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.6606,431.5612,37.0000,661.1394,25.8677,125.4037,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.6606,437.9191,37.0000,649.7325,64.1423,118.8280,8.0000,20.0000,15.0000,2.0000,5.0000,0.5000,0.0500,0.2000,0.0000,0.0000
2.7182,413.8668,37.0000,664.4328,69.9781,122.2861,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7182,425.8134,37.0000,640.3248,66.7349,118.7107,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.7182,408.1160,37.0000,646.1752,22.5900,125.7580,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7182,431.2480,37.0000,658.4485,12.9561,131.7998,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7182,429.9502,37.0000,618.5637,58.4860,121.6907,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,455.4364,37.0000,657.1933,61.3354,117.7821,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.7452,458.4453,37.0000,639.3752,20.0758,124.0133,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
2.7452,463.2196,37.0000,643.8112,55.2753,131.6598,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,461.3591,37.0000,628.5744,56.8131,117.2969,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,450.3874,37.0000,655.6005,46.3772,127.5113,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,409.0085,37.0000,651.4791,14.4077,123.5210,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,434.7355,37.0000,645.0056,22.5900,127.9251,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,438.4109,37.0000,638.6909,58.9857,122.9056,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,420.1809,37.0000,639.2718,22.5900,114.4204,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,425.3732,37.0000,627.9500,37.2907,116.4770,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,436.2431,37.0000,638.1262,22.6359,126.3520,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,413.9445,37.0000,641.2801,50.3893,130.2430,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
2.7452,422.4216,37.0000,657.1810,45.3600,131.5731,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,439.5372,37.0000,661.1632,21.0592,137.8846,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,422.4836,37.0000,656.7130,38.1328,126.6650,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,431.0148,37.0000,646.3053,18.4354,126.9026,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,417.1237,37.0000,675.0687,46.5013,127.1063,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,409.5145,37.0000,653.7124,11.8234,133.9562,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,445.7118,37.0000,635.0934,38.1328,135.8098,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,427.7991,37.0000,672.1883,49.7124,136.5337,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,429.4852,37.0000,663.4066,46.5013,137.8613,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,447.1491,37.0000,679.8922,69.6930,144.2902,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,440.4267,37.0000,664.6638,19.5088,126.6904,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,439.4586,37.0000,662.0907,23.3936,124.9783,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,433.4204,37.0000,685.8638,48.4180,134.4787,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,401.5341,37.0000,669.6571,20.0058,131.3615,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,416.4846,37.0000,639.6077,11.5675,136.2181,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
2.7452,407.4336,37.0000,657.6104,38.1328,136.4740,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,432.8968,37.0000,629.5311,38.1328,139.1001,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,450.5308,37.0000,655.5809,15.8359,138.3253,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,443.2131,37.0000,641.2236,38.1328,137.2215,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,446.5205,37.0000,656.3895,38.1328,130.9364,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,449.6212,37.0000,654.4953,38.1328,133.8259,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,452.9900,37.0000,647.9828,38.1328,143.4057,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,459.6847,37.0000,648.6136,38.1328,131.2394,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,433.9719,37.0000,625.4336,24.8495,131.1036,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,410.3091,37.0000,616.5568,38.1328,134.2750,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,405.2592,37.0000,620.9631,21.4686,127.7109,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,420.5668,37.0000,625.0388,20.6415,134.0550,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,398.8618,37.0000,634.8226,38.1328,127.0958,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,403.4405,37.0000,649.0667,38.1328,127.1655,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,410.0951,37.0000,622.0104,20.0758,128.2023,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,418.5613,37.0000,661.4968,15.1406,130.1662,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,422.2452,37.0000,645.3066,22.5900,133.5801,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,416.3051,37.0000,669.0804,38.1328,139.0425,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,454.2889,37.0000,666.9246,38.1328,143.6746,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,455.9381,37.0000,653.1616,38.1328,135.2818,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,433.7187,37.0000,656.6498,21.4686,144.7199,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,414.0820,37.0000,627.9217,25.3362,129.1523,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,406.6987,37.0000,628.7896,27.6796,141.8462,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.7452,403.9777,37.0000,629.4480,38.1328,137.1741,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,423.8514,37.0000,624.3861,38.1328,135.8604,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,443.8528,37.0000,643.8216,22.6999,138.6978,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,466.6907,37.0000,649.0775,26.7948,143.1932,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,445.6563,37.0000,648.2804,36.7046,147.0179,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.7452,442.1784,37.0000,642.4760,27.6796,141.8254,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,437.2993,37.0000,663.6018,12.8697,150.8740,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7452,439.0187,37.0000,686.8327,38.1328,151.3612,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
