Best Fitness (0),Diversity,numSimulations,Max. diversity,Min. diversity,Deviation,number of Elite,number of Mutation,number of XOver,number of Renew,number of Random,effectivity of Elite,effectivity of Mutation,effectivity of XOver,effectivity of Renew,effectivity of Random
2.6001,526.0107,50.0000,583.6303,454.8328,18.0692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6224,506.5143,37.0000,587.6233,53.8350,94.2508,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6224,484.5633,37.0000,589.5318,54.6551,105.5995,8.0000,20.0000,15.0000,2.0000,5.0000,0.3750,0.0500,0.2000,0.0000,0.0000
2.7184,470.1008,37.0000,589.5140,44.3039,130.6626,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
2.7184,448.4294,37.0000,598.7369,49.1242,135.5358,8.0000,20.0000,15.0000,2.0000,5.0000,0.3750,0.1500,0.1333,0.0000,0.0000
2.7184,451.0341,37.0000,593.8629,65.0767,130.4915,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
2.7184,445.3602,37.0000,600.2877,49.7899,135.0879,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
2.7184,437.0211,37.0000,606.9335,47.1122,130.2848,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7337,420.5498,37.0000,606.5140,47.6687,126.6914,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
2.7337,373.7718,37.0000,617.4393,49.9163,121.4461,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
2.7337,399.6190,37.0000,604.6318,38.2940,125.1203,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.7337,388.3544,37.0000,598.0766,46.1280,125.3943,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7337,393.8867,37.0000,616.9373,46.8068,131.4344,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
2.7337,355.1017,37.0000,629.9773,45.7625,122.3959,8.0000,20.0000,15.0000,2.0000,5.0000,0.5000,0.1000,0.1333,0.0000,0.0000
2.7337,359.5515,37.0000,615.1716,48.6377,126.5523,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7337,364.5994,37.0000,631.8125,29.1130,120.8216,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7337,372.1560,37.0000,617.9177,27.1206,119.6212,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7337,357.9268,37.0000,605.2363,22.4147,116.6099,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
2.7337,341.3846,37.0000,609.4346,19.0478,121.3691,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7728,302.5650,37.0000,599.7095,23.0458,114.7540,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.7728,301.6029,37.0000,603.9493,19.9201,101.1063,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
2.7728,292.5947,37.0000,612.9461,35.2990,103.4116,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.7728,294.5992,37.0000,622.2052,27.3906,104.8049,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0000,0.1333,0.0000,0.0000
2.7728,287.6547,37.0000,618.6544,25.9046,103.2445,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.1000,0.0667,0.0000,0.0000
2.7728,279.4133,37.0000,605.9796,23.8793,100.5472,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
2.7728,292.4120,37.0000,596.5607,22.7342,101.5563,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7728,299.6718,37.0000,622.8581,32.5538,105.4304,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7728,319.3176,37.0000,608.5704,19.0737,101.3098,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7728,322.5025,37.0000,609.3430,15.9038,104.7719,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7728,302.8682,37.0000,603.3917,25.8471,108.6012,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7728,308.4295,37.0000,620.2128,48.4176,101.8462,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7728,316.6755,37.0000,633.2504,23.0843,102.1795,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7728,314.5670,37.0000,614.9566,30.6650,100.0943,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7728,301.7938,37.0000,575.4243,24.5041,101.2819,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7728,309.7564,37.0000,593.4402,29.6944,105.1454,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7728,316.4104,37.0000,614.6184,16.6754,102.5515,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7728,307.7296,37.0000,580.6303,12.4565,99.3774,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7728,297.5292,37.0000,588.7864,28.0681,96.5015,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7728,298.2713,37.0000,614.7793,19.4376,102.4110,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7728,291.9722,37.0000,597.9092,43.3020,100.3477,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7728,314.1935,37.0000,603.3615,26.2589,102.9273,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
