Best Fitness (0),Diversity,numSimulations,Max. diversity,Min. diversity,Deviation,number of Elite,number of Mutation,number of XOver,number of Renew,number of Random,effectivity of Elite,effectivity of Mutation,effectivity of XOver,effectivity of Renew,effectivity of Random
2.7027,0.6637,50.0000,0.8280,0.5036,0.0485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7027,0.6470,37.0000,0.8214,0.0089,0.1432,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.9436,0.6150,37.0000,0.8299,0.0055,0.1690,8.0000,20.0000,15.0000,2.0000,5.0000,0.2500,0.1500,0.2000,0.0000,0.0000
2.9436,0.6000,37.0000,0.8422,0.0082,0.1882,8.0000,20.0000,15.0000,2.0000,5.0000,0.1250,0.3000,0.0000,0.0000,0.0000
2.9436,0.5984,37.0000,0.8332,0.0112,0.1795,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.9436,0.5978,37.0000,0.8438,0.0203,0.1835,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
2.9436,0.5890,37.0000,0.8386,0.0259,0.1951,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.1000,0.0667,0.0000,0.0000
2.9436,0.5887,37.0000,0.8931,0.0145,0.1976,8.0000,20.0000,15.0000,2.0000,5.0000,0.3750,0.2000,0.0667,0.0000,0.0000
2.9436,0.5374,37.0000,0.8734,0.0285,0.1947,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.9436,0.5621,37.0000,0.8635,0.0098,0.2175,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.9436,0.6063,37.0000,0.8744,0.0157,0.2046,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.9565,0.6033,37.0000,0.8862,0.0268,0.2091,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.9565,0.5771,37.0000,0.8431,0.0384,0.1937,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
3.0015,0.5439,37.0000,0.8501,0.0088,0.2082,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
3.0015,0.5458,37.0000,0.8866,0.0206,0.2247,8.0000,20.0000,15.0000,2.0000,5.0000,0.1250,0.2500,0.1333,0.0000,0.0000
3.0015,0.4769,37.0000,0.8578,0.0120,0.2136,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0015,0.4257,37.0000,0.7801,0.0064,0.1769,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0015,0.5075,37.0000,0.8391,0.0111,0.1956,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0015,0.5333,37.0000,0.8792,0.0182,0.1983,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0106,0.4936,37.0000,0.8185,0.0179,0.1945,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
3.0171,0.5032,37.0000,0.8357,0.0070,0.1810,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
3.0171,0.4919,37.0000,0.8235,0.0070,0.1742,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
3.0171,0.4677,37.0000,0.8173,0.0029,0.1693,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0171,0.4846,37.0000,0.8376,0.0029,0.1831,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1848,0.4533,37.0000,0.8599,0.0070,0.1756,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1848,0.4523,37.0000,0.8158,0.0088,0.1646,8.0000,20.0000,15.0000,2.0000,5.0000,0.2500,0.1000,0.2667,0.0000,0.0000
3.1848,0.4198,37.0000,0.7907,0.0013,0.1708,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1848,0.3729,37.0000,0.8398,0.0016,0.1581,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
3.1848,0.3996,37.0000,0.8113,0.0174,0.1521,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1848,0.4049,37.0000,0.9098,0.0149,0.1577,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
3.1848,0.3962,37.0000,0.7980,0.0053,0.1520,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1848,0.4041,37.0000,0.8702,0.0048,0.1550,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1848,0.3963,37.0000,0.7543,0.0032,0.1434,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
3.1848,0.4084,37.0000,0.8416,0.0049,0.1510,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1848,0.3900,37.0000,0.7947,0.0053,0.1531,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1848,0.4068,37.0000,0.8755,0.0064,0.1603,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1848,0.4026,37.0000,0.8816,0.0041,0.1597,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
3.1848,0.4053,37.0000,0.8652,0.0053,0.1578,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
3.1848,0.4138,37.0000,0.7644,0.0056,0.1511,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
3.1848,0.3986,37.0000,0.8975,0.0055,0.1640,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1848,0.3853,37.0000,0.7836,0.0053,0.1488,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
