Best Fitness (0),Diversity,numSimulations,Max. diversity,Min. diversity,Deviation,number of Elite,number of Mutation,number of XOver,number of Renew,number of Random,effectivity of Elite,effectivity of Mutation,effectivity of XOver,effectivity of Renew,effectivity of Random
2.5910,526.0107,50.0000,583.6303,454.8328,18.0692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.5948,504.3413,37.0000,584.0283,51.9871,93.4939,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6782,482.2199,37.0000,588.7173,53.7668,119.7381,8.0000,20.0000,15.0000,2.0000,5.0000,0.5000,0.0500,0.2000,0.0000,0.0000
2.6782,457.5854,37.0000,609.0937,50.8204,133.7491,8.0000,20.0000,15.0000,2.0000,5.0000,0.2500,0.1500,0.2000,0.0000,0.0000
2.6782,446.6717,37.0000,599.8679,56.0716,129.8561,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
2.6829,409.7809,37.0000,594.7014,55.0285,115.3126,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.1000,0.0667,0.0000,0.0000
2.7049,401.9605,37.0000,590.6706,55.8430,111.4827,8.0000,20.0000,15.0000,2.0000,5.0000,0.5000,0.1000,0.1333,0.0000,0.0000
2.7049,378.2558,37.0000,598.6050,49.9233,114.7531,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.1500,0.0000,0.0000,0.0000
2.7049,373.4149,37.0000,589.5491,14.7714,116.3997,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7049,346.6229,37.0000,603.7867,33.6103,120.2919,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.1000,0.0667,0.0000,0.0000
2.7049,369.8327,37.0000,624.5684,20.3103,147.7004,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7049,331.8666,37.0000,623.1767,30.7287,132.4934,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
2.7049,371.1568,37.0000,604.8487,26.6526,133.9532,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7049,365.2397,37.0000,616.0966,26.6526,127.9686,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7049,367.7254,37.0000,618.8255,18.8238,144.5307,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7049,388.6272,37.0000,617.5088,25.9829,135.7892,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7049,376.3530,37.0000,614.0226,52.9408,150.4244,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.7921,357.8876,37.0000,639.3132,12.3541,154.2650,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,369.0134,37.0000,641.8375,15.7897,133.1278,8.0000,20.0000,15.0000,2.0000,5.0000,0.5000,0.1000,0.1333,0.0000,0.0000
2.7921,346.2768,37.0000,624.3404,15.7897,121.7568,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.7921,365.0244,37.0000,642.1968,24.6930,126.7800,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.7921,357.2217,37.0000,616.1826,15.0001,125.0705,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,347.6860,37.0000,638.9111,27.5511,129.9276,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,374.4876,37.0000,633.6113,29.3550,131.0364,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
2.7921,400.8044,37.0000,640.4599,53.3334,130.4784,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,381.6402,37.0000,626.7282,37.0189,120.1808,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,380.8844,37.0000,627.2620,37.0189,115.8773,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,408.3289,37.0000,657.5859,31.5016,124.9818,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,391.1442,37.0000,617.6875,35.8303,124.3473,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,415.4772,37.0000,621.3252,54.2637,128.9247,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,386.8848,37.0000,616.2335,21.0040,119.2318,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,390.6995,37.0000,613.3078,13.7057,131.3026,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,386.8410,37.0000,658.1067,21.2689,125.9044,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
2.7921,379.8491,37.0000,642.6194,41.6409,138.1080,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,386.5711,37.0000,619.6312,20.6490,124.6866,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,369.4474,37.0000,629.6542,58.0373,128.2189,8.0000,20.0000,15.0000,2.0000,5.0000,0.5000,0.1500,0.0667,0.0000,0.0000
2.7921,342.3053,37.0000,638.3271,28.5627,124.7989,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,281.2060,37.0000,646.1275,18.9908,110.2903,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,288.0517,37.0000,635.8284,13.0811,111.6733,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,274.9688,37.0000,647.1135,17.8579,114.8096,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,288.0462,37.0000,618.6311,29.1490,108.5006,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,287.3750,37.0000,619.5023,21.7343,110.7084,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,279.5151,37.0000,633.7881,17.9234,108.3616,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,281.3567,37.0000,657.7663,12.4213,115.1421,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,274.0920,37.0000,625.3905,19.3767,110.6499,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,270.1413,37.0000,648.6012,13.3024,111.0572,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,280.5181,37.0000,641.5749,39.9621,114.7404,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,289.4861,37.0000,638.9186,27.3248,113.8421,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,277.5575,37.0000,642.1513,22.2148,112.6482,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,279.0468,37.0000,623.0486,27.7879,110.4901,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,276.5004,37.0000,644.2155,16.6229,116.2536,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7921,272.1756,37.0000,632.9449,21.8206,113.0465,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
