Best Fitness (0),Diversity,numSimulations,Max. diversity,Min. diversity,Deviation,number of Elite,number of Mutation,number of XOver,number of Renew,number of Random,effectivity of Elite,effectivity of Mutation,effectivity of XOver,effectivity of Renew,effectivity of Random
2.6951,0.6679,50.0000,0.8607,0.5253,0.0514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7767,0.6560,37.0000,0.8417,0.0131,0.1309,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7767,0.6168,37.0000,0.8408,0.0132,0.1729,8.0000,20.0000,15.0000,2.0000,5.0000,0.3750,0.1000,0.2000,0.0000,0.0000
2.8668,0.5811,37.0000,0.8518,0.0204,0.1952,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.1500,0.0000,0.0000,0.0000
2.8668,0.5946,37.0000,0.8535,0.0118,0.1846,8.0000,20.0000,15.0000,2.0000,5.0000,0.1250,0.1500,0.2667,0.0000,0.0000
3.0002,0.5928,37.0000,0.8437,0.0118,0.1825,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.1000,0.0667,0.0000,0.0000
3.0002,0.6119,37.0000,0.8548,0.0180,0.1797,8.0000,20.0000,15.0000,2.0000,5.0000,0.2500,0.3000,0.0000,0.0000,0.0000
3.0002,0.6074,37.0000,0.9380,0.0180,0.2011,8.0000,20.0000,15.0000,2.0000,5.0000,0.5000,0.0500,0.2000,0.0000,0.0000
3.0002,0.6033,37.0000,0.9212,0.0180,0.2148,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.1500,0.0000,0.0000,0.0000
3.0002,0.5878,37.0000,0.9108,0.0092,0.2237,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
3.0002,0.5965,37.0000,0.9897,0.0209,0.2247,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
3.0002,0.6124,37.0000,0.9941,0.0075,0.2490,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
3.0002,0.6166,37.0000,0.9737,0.0125,0.2432,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
3.0002,0.6269,37.0000,0.9902,0.0184,0.2463,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
3.0002,0.6274,37.0000,0.9794,0.0070,0.2579,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0000,0.1333,0.0000,0.0000
3.0002,0.6144,37.0000,0.9940,0.0068,0.2456,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.0000,0.2000,0.0000,0.0000
3.0002,0.6205,37.0000,1.0214,0.0068,0.2145,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0294,0.6316,37.0000,0.9856,0.0070,0.2238,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0294,0.5994,37.0000,0.9813,0.0070,0.2357,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.0500,0.1333,0.0000,0.0000
3.0294,0.5600,37.0000,0.9322,0.0086,0.2600,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0000,0.1333,0.0000,0.0000
3.0294,0.5816,37.0000,0.9208,0.0019,0.2389,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0294,0.5839,37.0000,0.9705,0.0019,0.2367,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
3.0294,0.5727,37.0000,0.9564,0.0019,0.2433,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0294,0.5646,37.0000,1.0172,0.0019,0.2241,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
3.0294,0.5538,37.0000,0.9136,0.0019,0.2521,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.0000,0.2000,0.0000,0.0000
3.0294,0.6055,37.0000,0.8871,0.0019,0.2402,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.6198,37.0000,0.8983,0.0019,0.2365,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.5706,37.0000,0.9723,0.0019,0.2055,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
3.0950,0.5885,37.0000,0.9504,0.0019,0.2216,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.6200,37.0000,0.8777,0.0019,0.2068,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0000,0.1333,0.0000,0.0000
3.0950,0.5972,37.0000,0.8645,0.0019,0.2250,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.5801,37.0000,0.8776,0.0019,0.2519,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.5910,37.0000,0.8814,0.0019,0.2307,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.5602,37.0000,0.8698,0.0019,0.2329,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0000,0.1333,0.0000,0.0000
3.0950,0.4887,37.0000,0.8579,0.0040,0.2158,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
3.0950,0.5439,37.0000,0.8789,0.0040,0.2267,8.0000,20.0000,15.0000,2.0000,5.0000,0.5000,0.0000,0.2667,0.0000,0.0000
3.0950,0.5653,37.0000,0.8702,0.0053,0.2326,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4823,37.0000,0.8326,0.0053,0.2305,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0000,0.1333,0.0000,0.0000
3.0950,0.4403,37.0000,0.8644,0.0040,0.2255,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4881,37.0000,0.8551,0.0035,0.2264,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4857,37.0000,0.8740,0.0052,0.2314,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.5085,37.0000,0.8968,0.0053,0.2183,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4155,37.0000,0.8209,0.0053,0.2007,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
3.0950,0.4416,37.0000,0.8893,0.0049,0.2262,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4761,37.0000,0.8630,0.0040,0.2290,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.5502,37.0000,0.9244,0.0034,0.2453,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.5218,37.0000,0.8658,0.0053,0.2411,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.5351,37.0000,0.8466,0.0049,0.2363,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.5123,37.0000,0.8404,0.0053,0.2211,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4742,37.0000,0.8206,0.0053,0.2265,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4813,37.0000,0.8754,0.0035,0.2328,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4716,37.0000,0.8892,0.0053,0.2202,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.5005,37.0000,0.8550,0.0053,0.2275,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.5009,37.0000,0.8388,0.0023,0.2163,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4473,37.0000,0.8505,0.0023,0.2174,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4284,37.0000,0.8492,0.0052,0.2017,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4535,37.0000,0.8392,0.0053,0.2063,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4981,37.0000,0.8473,0.0053,0.2119,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4627,37.0000,0.8471,0.0053,0.2067,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.5385,37.0000,0.8564,0.0053,0.2390,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.5260,37.0000,0.8544,0.0036,0.2452,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4864,37.0000,0.8544,0.0053,0.2209,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.5017,37.0000,0.8538,0.0053,0.2179,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4894,37.0000,0.8361,0.0053,0.2109,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.5194,37.0000,0.8304,0.0040,0.1950,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4605,37.0000,0.8526,0.0039,0.2193,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
3.0950,0.4398,37.0000,0.8549,0.0040,0.2280,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4826,37.0000,0.8343,0.0044,0.2446,8.0000,20.0000,15.0000,2.0000,5.0000,0.5000,0.0000,0.2667,0.0000,0.0000
3.0950,0.4787,37.0000,0.8247,0.0053,0.2359,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4859,37.0000,0.8842,0.0052,0.2465,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4821,37.0000,0.8622,0.0052,0.2383,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.5267,37.0000,0.8394,0.0007,0.2284,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.5021,37.0000,0.8267,0.0057,0.2334,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4208,37.0000,0.8638,0.0053,0.2273,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4521,37.0000,0.8679,0.0053,0.2358,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4473,37.0000,0.8532,0.0040,0.2300,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4120,37.0000,0.8201,0.0053,0.2200,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4600,37.0000,0.8475,0.0040,0.2245,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4595,37.0000,0.8224,0.0040,0.2288,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4952,37.0000,0.8445,0.0053,0.2272,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
3.0950,0.4856,37.0000,0.8494,0.0038,0.2241,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.5055,37.0000,0.8517,0.0038,0.2430,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4506,37.0000,0.8291,0.0040,0.2294,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4752,37.0000,0.8448,0.0040,0.2384,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
3.0950,0.4780,37.0000,0.8511,0.0040,0.2424,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4679,37.0000,0.8644,0.0040,0.2290,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4189,37.0000,0.8364,0.0040,0.2200,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4500,37.0000,0.9111,0.0032,0.2253,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.0950,0.4398,37.0000,0.8650,0.0065,0.2346,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.4719,37.0000,0.8915,0.0068,0.2100,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.4309,37.0000,0.8476,0.0107,0.2086,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
3.1120,0.4401,37.0000,0.8250,0.0040,0.2152,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.3839,37.0000,0.8384,0.0034,0.2172,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.3669,37.0000,0.7728,0.0040,0.1820,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.3598,37.0000,0.8169,0.0040,0.1914,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.3603,37.0000,0.8189,0.0040,0.1843,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.3607,37.0000,0.8022,0.0040,0.1905,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.3532,37.0000,0.8264,0.0040,0.1900,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.3335,37.0000,0.7861,0.0040,0.1771,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.3534,37.0000,0.7905,0.0040,0.1819,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.3452,37.0000,0.8405,0.0040,0.1863,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.3477,37.0000,0.7249,0.0038,0.1782,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.0000,0.2000,0.0000,0.0000
3.1120,0.3902,37.0000,0.7615,0.0040,0.2025,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.3777,37.0000,0.7572,0.0040,0.1989,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.3961,37.0000,0.7585,0.0040,0.1887,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.4069,37.0000,0.8030,0.0040,0.1957,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.4202,37.0000,0.7819,0.0040,0.2061,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.3648,37.0000,0.7294,0.0040,0.1896,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.4182,37.0000,0.8693,0.0040,0.1931,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0000,0.1333,0.0000,0.0000
3.1120,0.4115,37.0000,0.8173,0.0040,0.2025,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.4499,37.0000,0.8526,0.0040,0.2102,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.4437,37.0000,0.8316,0.0040,0.1894,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.4384,37.0000,0.7802,0.0040,0.1929,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.4421,37.0000,0.8086,0.0057,0.1940,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.4646,37.0000,0.8724,0.0040,0.1913,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.4215,37.0000,0.7966,0.0040,0.1919,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3.1120,0.4315,37.0000,0.7916,0.0040,0.1855,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
